Date,3 Months,6 Months,1 Year,2 Years,3 Years,4 Years,5 Years,6 Years,7 Years,8 Years,9 Years,10 Years,12 Years,15 Years,24 Years,30 Years
04/02/2025,6.28,6.3,6.32,6.31,6.32,6.33,6.36,6.34,6.46,6.51,6.52,6.48,6.58,6.59,6.81,6.85
03/28/2025,6.35,6.44,6.39,6.42,6.44,6.45,6.45,6.44,6.53,6.6,6.61,6.58,6.67,6.68,6.87,6.92
03/27/2025,6.48,6.51,6.47,6.46,6.47,6.48,6.48,6.47,6.57,6.62,6.63,6.59,6.69,6.7,6.91,6.95
03/26/2025,6.45,6.53,6.48,6.46,6.47,6.49,6.48,6.47,6.57,6.63,6.64,6.6,6.71,6.71,6.92,6.95
03/25/2025,6.45,6.52,6.49,6.47,6.48,6.51,6.5,6.5,6.62,6.66,6.67,6.63,6.73,6.77,6.95,6.98
03/24/2025,6.45,6.53,6.48,6.47,6.49,6.5,6.5,6.49,6.61,6.66,6.67,6.62,6.75,6.76,6.92,6.97
03/21/2025,6.46,6.55,6.49,6.46,6.5,6.51,6.5,6.49,6.6,6.66,6.67,6.62,6.75,6.76,6.91,6.97
03/20/2025,6.46,6.56,6.51,6.5,6.53,6.53,6.53,6.52,6.64,6.68,6.68,6.64,6.77,6.77,6.93,6.96
03/19/2025,6.45,6.57,6.56,6.52,6.55,6.56,6.57,6.56,6.68,6.71,6.71,6.66,6.81,6.79,6.97,6.97
03/18/2025,6.45,6.57,6.56,6.52,6.57,6.58,6.57,6.59,6.69,6.73,6.73,6.67,6.82,6.81,7,7
03/17/2025,6.45,6.57,6.56,6.54,6.56,6.6,6.59,6.6,6.71,6.74,6.74,6.69,6.82,6.82,7.02,7.02
03/13/2025,6.48,6.6,6.57,6.53,6.57,6.61,6.58,6.61,6.73,6.75,6.75,6.69,6.83,6.83,7.02,7.02
03/12/2025,6.47,6.58,6.58,6.54,6.57,6.6,6.59,6.6,6.71,6.74,6.75,6.68,6.84,6.84,7.02,7.04
03/11/2025,6.47,6.57,6.58,6.55,6.58,6.6,6.59,6.61,6.73,6.76,6.76,6.69,6.86,6.85,7.03,7.06
03/10/2025,6.47,6.59,6.58,6.55,6.58,6.61,6.61,6.62,6.73,6.76,6.76,6.7,6.87,6.87,7.04,7.07
03/07/2025,6.47,6.58,6.52,6.54,6.54,6.6,6.6,6.6,6.72,6.75,6.75,6.68,6.86,6.86,7.02,7.08
03/06/2025,6.47,6.58,6.55,6.53,6.55,6.6,6.6,6.6,6.72,6.75,6.75,6.68,6.87,6.86,7.04,7.09
03/05/2025,6.45,6.57,6.57,6.54,6.57,6.62,6.62,6.62,6.74,6.79,6.78,6.71,6.9,6.9,7.08,7.12
03/04/2025,6.44,6.57,6.58,6.56,6.56,6.65,6.65,6.63,6.74,6.81,6.8,6.74,6.89,6.92,7.05,7.14
03/03/2025,6.44,6.57,6.57,6.56,6.57,6.64,6.65,6.63,6.73,6.8,6.79,6.73,6.87,6.91,7.04,7.14
02/28/2025,6.43,6.56,6.57,6.54,6.58,6.62,6.64,6.63,6.72,6.78,6.78,6.72,6.87,6.9,7.01,7.13
02/27/2025,6.42,6.55,6.54,6.56,6.57,6.62,6.62,6.62,6.69,6.77,6.76,6.71,6.86,6.88,7.06,7.11
